region,pos_sig_diff,neg_sig_diff,pos_trend,neg_trend,pos_diff_m2,neg_diff_m2,pos_pixels,neg_pixels,total_pixels,neg_area,pos_area,total_area,pos_diff_km2,neg_diff_km2,pos_diff_hct,neg_diff_hct,net_diff_hct,percent_positive,percent_negative,country
Kuntaur,7.863504511898615e-05,0.0009782215406636,3.984328106095279e-06,5.487372233784996e-05,388.68843000000004,4835.0123,111921,1775904,9885681,0.038181936,0.0024063015,4671543.44618,3.8868843,48.350123,0.38868843000000003,4.835012300000001,-4.4463238700000005,1.0301954922275948e-07,1.6346604260406487e-06,Gambia
Afar,0.0007658006940111451,0.0007326463551746563,4.041462022269628e-05,3.687807875023801e-05,3785.1320753640002,3620.999983982,1069890,1461436,59307417,0.031420874,0.023002635,28029260.677079998,37.85132075364,36.20999983982,3.7851320753640003,3.620999983982,0.1641320913820002,9.847980764819663e-07,1.3452031159292066e-06,Ethiopia
Tigray,0.0026083852454049103,0.0028828152010519155,0.00014177784015198433,0.00014924278519817065,12892.7790804,14248.8257863,3661266,4967836,98854588,0.106808474,0.078717219,46715434.4618,128.927790804,142.488257863,12.8927790804,14.2488257863,-1.3560467059000003,3.3700732919167606e-06,4.5727274178446995e-06,Ethiopia
Amhara,0.00023271409264480277,0.00046284096320995625,1.3448036549323974e-05,2.3352571387833857e-05,1150.5253850136,2288.25012574,380432,654659,84033847,0.014075168499999999,0.008179288,39708119.29253,11.505253850136,22.8825012574,1.1505253850136001,2.28825012574,-1.1377247407264002,3.5017497297122825e-07,6.02591784156883e-07,Ethiopia
Benishangul Gumz,4.0627577380913086e-06,1.8571384170922002e-05,2.219860810981525e-07,1.2919291150136628e-06,20.0857884243,91.788516,4150,18365,19769139,0.0003948475,8.9225e-05,9343086.89236,0.200857884243,0.91788516,0.0200857884243,0.091788516,-0.0717027275757,3.819936645262747e-09,1.690437023861454e-08,Ethiopia
Debub,0.0005737195440359555,0.000649573189099731,3.0872748843480265e-05,3.3558596567830664e-05,2836.52743,3210.88874,796355,1130346,24717538,0.024302439,0.017121632499999997,11678858.61545,28.365274299999996,32.1088874,2.83652743,3.2108887399999997,-0.37436130999999984,7.330182282260758e-07,1.0404458089701602e-06,Eritrea
Maekel,0.0001105805673456,0.0001048621571729,6.014276227602693e-06,5.087423490167886e-06,546.705,518.4335,168740,169540,4943952,0.00364511,0.00362791,2335771.72309,5.46705,5.184335,0.546705,0.5184335,0.028271500000000005,1.5531954446304478e-07,1.5605591779225207e-07,Eritrea
Gash Barka,0.0002442993278396769,0.0009385769716749719,1.2022281315677095e-05,4.6237357647101385e-05,1207.39133856,4639.17414821,327880,1091173,84022732,0.0234602195,0.00704942,39708119.29253,12.073913385600001,46.391741482099995,1.20739133856,4.6391741482099995,-3.4317828096499996,3.018026089756023e-07,1.0043883684388643e-06,Eritrea
Semenawi Keih Bahri,8.496545104700772e-05,7.943383962860544e-05,4.501393673200706e-06,3.94995997028515e-06,420.050707,392.703936,119837,147255,9885681,0.0031659825,0.0025764955,4671543.44618,4.2005070700000005,3.9270393599999998,0.420050707,0.392703936,0.027346771,1.1030596331526547e-07,1.3554331824052186e-07,Eritrea
Ennedi Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34594326,0.0,0.0,16350402.06163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chad
Mayo-Kebbi Est,0.0002906369266605129,0.001248975575971118,1.3071844134663222e-05,6.546747575475619e-05,1436.44282,6173.20334,312716,1314414,49423959,0.028259901,0.006723394,23357717.2309,14.364428199999999,61.732033400000006,1.43644282,6.17320334,-4.73676052,2.8784465252047835e-07,1.2098742664208164e-06,Chad
Tandjile,0.00015100162206847757,0.0006847897974243569,6.705549587739521e-06,3.593506272792153e-05,746.23938,3384.518773,156048,609916,24710868,0.013113194000000002,0.003355032,11678858.61545,7.4623938,33.84518773,0.74623938,3.384518773,-2.638279393,1.4363698159517134e-07,5.614073443209816e-07,Chad
Batha,0.0005854823904568305,0.0011395055013230153,3.097791070007391e-05,5.5737758994433294e-05,2893.5158082099997,5631.65986655,835344,3044762,232305724,0.065462383,0.017959896,109781270.98523,28.9351580821,56.316598665499995,2.89351580821,5.63165986655,-2.73814405834,7.68906302891654e-07,2.802601913229757e-06,Chad
Moyen-Chari,1.2857606716629638e-05,1.415510402329784e-05,5.98336185306844e-07,6.875225745636697e-07,63.56739,69.982155,10620,9687,4943952,0.0002082705,0.00022833,2335771.72309,0.6356739,0.69982155,0.06356739,0.069982155,-0.006414765000000003,9.775355945226595e-09,8.916560550038609e-09,Chad
Wadi Fira,8.351168273322001e-05,1.0209939014956524e-05,4.489314897795373e-06,5.058352170484917e-07,412.80082,50.4661359075,88738,30604,182883989,0.000657986,0.001907867,86423553.75433,4.1280082,0.504661359075,0.41280081999999996,0.0504661359075,0.36233468409249997,8.168037060899413e-08,2.8169961708824362e-08,Chad
Barh-El-Gazel,4.769310641867115e-06,5.446509068782372e-05,2.4522105782396087e-07,2.8987074049933258e-06,23.568641,269.15171499999997,8007,109576,14825187,0.002355884,0.0001721505,7007315.1692699995,0.23568640999999999,2.69151715,0.023568641,0.269151715,-0.24558307399999998,7.370176558703327e-09,1.0086105490152066e-07,Chad
Sila,0.0007095437515058865,0.002094761376809532,3.585617865564446e-05,0.00010618075311467349,3508.1995354,10354.65732,926217,3614599,98859035,0.0777138785,0.0199136655,46715434.4618,35.081995354,103.5465732,3.5081995354,10.354657320000001,-6.8464577846,8.5255186982297e-07,3.3271178742241157e-06,Chad
NDjamena,8.099632230748955e-06,5.877689112673291e-06,4.000097684510529e-07,3.12948904791703e-07,40.045707,29.064098,10449,13598,9890128,0.00029235700000000003,0.0002246535,4671543.44618,0.40045707,0.29064098,0.040045707,0.029064098,0.010981609,9.617956146108541e-09,1.2516505663200682e-08,Chad
Chari-Baguirmi,0.000826324957278907,0.004195109021454821,3.887148164564178e-05,0.0002225381827836294,4084.123884,20734.112922,967029,4576872,118625951,0.098402748,0.0207911235,56058521.354159996,40.84123884,207.34112922,4.084123884,20.734112922,-16.649989038,8.901179552124792e-07,4.212858089994457e-06,Chad
Guera,0.0008398969186117119,0.002335896434550001,4.139952719010867e-05,0.0001268500631303114,4151.752859625,11546.485598285,996494,2837022,331160314,0.060995973,0.021424621,156496705.44703,41.51752859625,115.46485598285001,4.151752859625,11.546485598285,-7.39473273866,9.172395053938447e-07,2.6113841689678574e-06,Chad
Salamat,0.00015626476493609134,0.003617783443520912,7.5742657701793505e-06,0.0001898531219840575,772.484519543,17882.692368657,177995,3527652,271864011,0.075844518,0.0038268925,128467444.76995,7.72484519543,178.82692368657,0.7724845195429999,17.882692368657,-17.110207849113998,1.6383846341531148e-07,3.247086059405884e-06,Chad
Hadjer-Lamis,0.0014655221136402712,0.003819855275404755,7.31191296185788e-05,0.00018861361401360067,7242.9516162785,18880.57833102,1882969,5381209,108733599,0.1156959935,0.0404838335,51386977.90798,72.42951616278499,188.80578331019998,7.2429516162785,18.88057833102,-11.637626714741499,1.7332101891551203e-06,4.953223483112699e-06,Chad
