geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((8.384275985115533 14.971921401992024, 8.683714413155373 14.971921401992024, 8.683714413155373 15.271359830031864, 8.384275985115533 15.271359830031864, 8.384275985115533 14.971921401992024))",9_16_7,NER,Zinder,1.7412739902986765e-05,3.7954158545438217e-06,8.493223053113407e-07,2.102040139606254e-07
"POLYGON ((8.683714413155373 14.373044545912343, 8.983152841195214 14.373044545912343, 8.983152841195214 14.672482973952183, 8.683714413155373 14.672482973952183, 8.683714413155373 14.373044545912343))",9_16_2,NER,Zinder,0.00012970165694094616,1.706623184113467e-05,6.428452791539764e-06,7.504981743445646e-07
"POLYGON ((8.683714413155373 14.672482973952183, 8.983152841195214 14.672482973952183, 8.983152841195214 14.971921401992024, 8.683714413155373 14.971921401992024, 8.683714413155373 14.672482973952183))",9_16_5,NER,Zinder,9.842363874193535e-05,1.1424064441790128e-05,5.185924883441591e-06,5.481745318161974e-07
"POLYGON ((8.683714413155373 14.971921401992024, 8.983152841195214 14.971921401992024, 8.983152841195214 15.271359830031864, 8.683714413155373 15.271359830031864, 8.683714413155373 14.971921401992024))",9_16_8,NER,Zinder,2.7680624711315297e-05,5.089763749444637e-06,1.4200939122316962e-06,2.8696146905715366e-07
"POLYGON ((8.983152841195214 14.373044545912343, 9.282591269235054 14.373044545912343, 9.282591269235054 14.672482973952183, 8.983152841195214 14.672482973952183, 8.983152841195214 14.373044545912343))",10_16_0,NER,Zinder,1.69912274762419e-05,1.065841173420069e-05,8.403073501854236e-07,6.271569298486043e-07
"POLYGON ((8.983152841195214 14.672482973952183, 9.282591269235054 14.672482973952183, 9.282591269235054 14.971921401992024, 8.983152841195214 14.971921401992024, 8.983152841195214 14.672482973952183))",10_16_3,NER,Zinder,1.693855607884644e-05,1.6234961360858966e-05,9.444819949852444e-07,1.1303198937195054e-06
"POLYGON ((8.983152841195214 14.971921401992024, 9.282591269235054 14.971921401992024, 9.282591269235054 15.271359830031864, 8.983152841195214 15.271359830031864, 8.983152841195214 14.971921401992024))",10_16_6,NER,Zinder,1.4332192901200578e-05,6.189593485372818e-06,7.207803367058972e-07,4.446254856427613e-07
"POLYGON ((9.282591269235054 14.373044545912343, 9.582029697274896 14.373044545912343, 9.582029697274896 14.672482973952183, 9.282591269235054 14.672482973952183, 9.282591269235054 14.373044545912343))",10_16_1,NER,Zinder,9.729641870563044e-06,1.0401274300176508e-05,4.979901646845696e-07,5.788125811639906e-07
"POLYGON ((9.282591269235054 14.672482973952183, 9.582029697274896 14.672482973952183, 9.582029697274896 14.971921401992024, 9.282591269235054 14.971921401992024, 9.282591269235054 14.672482973952183))",10_16_4,NER,Zinder,4.07502190521073e-07,1.3761897391830195e-06,2.114335213603286e-08,6.325714311158396e-08
"POLYGON ((9.282591269235054 14.971921401992024, 9.582029697274896 14.971921401992024, 9.582029697274896 15.271359830031864, 9.282591269235054 15.271359830031864, 9.282591269235054 14.971921401992024))",10_16_7,NER,Zinder,2.5505713611088805e-06,2.6307978218022144e-08,1.187773566338824e-07,1.2922365579637062e-09
