geometry,tile_id,country,region,pos_sig_diff,neg_sig_diff,pos_nonsig_diff,neg_nonsig_diff
"POLYGON ((14.672482973952183 10.480344981394417, 14.971921401992024 10.480344981394417, 14.971921401992024 10.779783409434257, 14.672482973952183 10.779783409434257, 14.672482973952183 10.480344981394417))",16_11_7,CMR,Extreme-Nord,0.00010967931476238543,0.00022656240340944602,4.927990126737963e-05,0.0
"POLYGON ((14.971921401992024 9.881468125314736, 15.271359830031864 9.881468125314736, 15.271359830031864 10.180906553354577, 14.971921401992024 10.180906553354577, 14.971921401992024 9.881468125314736))",16_11_2,CMR,Extreme-Nord,0.0004862871114732819,1.4593287816551341e-05,0.000251153902102761,0.0
"POLYGON ((14.971921401992024 10.180906553354577, 15.271359830031864 10.180906553354577, 15.271359830031864 10.480344981394417, 14.971921401992024 10.480344981394417, 14.971921401992024 10.180906553354577))",16_11_5,CMR,Extreme-Nord,5.0894958877405304e-05,5.800041128380876e-05,2.4767666504010096e-05,0.0
"POLYGON ((14.971921401992024 10.480344981394417, 15.271359830031864 10.480344981394417, 15.271359830031864 10.779783409434257, 14.971921401992024 10.779783409434257, 14.971921401992024 10.480344981394417))",16_11_8,CMR,Extreme-Nord,6.20096788140693e-05,0.0001259905356980067,2.5365333124281376e-05,0.0
"POLYGON ((15.271359830031864 9.881468125314736, 15.570798258071704 9.881468125314736, 15.570798258071704 10.180906553354577, 15.271359830031864 10.180906553354577, 15.271359830031864 9.881468125314736))",17_11_0,CMR,Extreme-Nord,6.134620930300596e-05,0.00010265462165181078,7.309511459624633e-05,0.0
"POLYGON ((15.271359830031864 10.180906553354577, 15.570798258071704 10.180906553354577, 15.570798258071704 10.480344981394417, 15.271359830031864 10.480344981394417, 15.271359830031864 10.180906553354577))",17_11_3,CMR,Extreme-Nord,1.6467249842351008e-05,0.0001876125607310531,0.0,8.528575240118071e-05
"POLYGON ((15.271359830031864 10.480344981394417, 15.570798258071704 10.480344981394417, 15.570798258071704 10.779783409434257, 15.271359830031864 10.779783409434257, 15.271359830031864 10.480344981394417))",17_11_6,TCD,Mayo-Kebbi Est,3.0584078845707075e-06,6.611206032184029e-05,0.0,1.5661600573845207e-05
"POLYGON ((15.570798258071704 9.881468125314736, 15.870236686111545 9.881468125314736, 15.870236686111545 10.180906553354577, 15.570798258071704 10.180906553354577, 15.570798258071704 9.881468125314736))",17_11_1,CMR,Extreme-Nord,2.5148845287989666e-05,0.00028642481971201275,0.0,8.042844243507687e-05
"POLYGON ((15.570798258071704 10.180906553354577, 15.870236686111545 10.180906553354577, 15.870236686111545 10.480344981394417, 15.570798258071704 10.480344981394417, 15.570798258071704 10.180906553354577))",17_11_4,TCD,Mayo-Kebbi Est,1.8618565294198523e-06,3.4348401900309396e-05,0.0,4.17012041341578e-06
"POLYGON ((15.570798258071704 10.480344981394417, 15.870236686111545 10.480344981394417, 15.870236686111545 10.779783409434257, 15.570798258071704 10.779783409434257, 15.570798258071704 10.480344981394417))",17_11_7,TCD,Mayo-Kebbi Est,2.0230183798577134e-06,1.8614898599401677e-05,0.0,3.889779596028188e-06
"POLYGON ((15.870236686111545 9.881468125314736, 16.169675114151385 9.881468125314736, 16.169675114151385 10.180906553354577, 15.870236686111545 10.180906553354577, 15.870236686111545 9.881468125314736))",17_11_2,TCD,Mayo-Kebbi Est,1.1177208135359703e-05,0.0002300359632478835,0.0,4.669106781894271e-05
